更新时间: 2026-04-10 15:23:26（北京时间）

更新时间,#genre#
2026-04-10 15:23:26,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
女性时尚,http://106.116.240.74:9999/rtp/239.254.201.228:7255$河北省电信
世界地理,http://116.237.61.115:4022/rtp/233.18.204.179:5140$上海市电信
世界地理,http://106.116.240.74:9999/rtp/239.254.201.226:7254$河北省电信
央视台球,http://116.237.61.115:4022/rtp/233.18.204.177:5140$上海市电信
央视台球,http://106.116.240.74:9999/rtp/239.254.201.171:7176$河北省电信
高尔夫网球,http://116.237.61.115:4022/rtp/233.18.204.181:5140$上海市电信
高尔夫网球,http://106.116.240.74:9999/rtp/239.254.201.223:7252$河北省电信
央视文化精品,http://116.237.61.115:4022/rtp/233.18.204.186:5140$上海市电信
央视文化精品,http://106.116.240.74:9999/rtp/239.254.201.229:7260$河北省电信
电视指南,http://106.116.240.74:9999/rtp/239.254.201.217:7250$河北省电信
中学生,http://106.116.240.74:9999/rtp/239.254.200.113:6243$河北省电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信

卫视频道,#genre#
湖南卫视,http://113.120.108.132:4000/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://116.237.61.115:4022/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://116.237.61.115:4022/rtp/233.18.204.86:5140$上海市电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://182.135.34.97:888/rtp/239.94.0.116:5140$四川电信
湖南卫视,http://182.135.34.97:888/rtp/239.94.0.61:5140$四川电信
湖南卫视,http://121.238.250.95:8800/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://111.193.235.246:8888/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://106.116.240.74:9999/rtp/239.254.200.48:8012$河北省电信
浙江卫视,http://113.120.108.132:4000/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://116.237.61.115:4022/rtp/233.18.204.229:5140$上海市电信
浙江卫视,http://116.237.61.115:4022/rtp/233.18.204.84:5140$上海市电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://182.135.34.97:888/rtp/239.94.0.118:5140$四川电信
浙江卫视,http://182.135.34.97:888/rtp/239.94.0.63:5140$四川电信
浙江卫视,http://121.238.250.95:8800/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://111.193.235.246:8888/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://106.116.240.74:9999/rtp/239.254.200.53:8036$河北省电信
江苏卫视,http://113.120.108.132:4000/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://116.237.61.115:4022/rtp/233.18.204.85:5140$上海市电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://182.135.34.97:888/rtp/239.94.0.62:5140$四川电信
江苏卫视,http://121.238.250.95:8800/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://111.193.235.246:8888/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://106.116.240.74:9999/rtp/239.254.200.51:8028$河北省电信
东方卫视,http://113.120.108.132:4000/rtp/239.21.1.111:5002$山东电信
东方卫视,http://116.237.61.115:4022/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://116.237.61.115:4022/rtp/233.18.204.51:5140$上海市电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
